id	name	address	city	phone	type
151	bacchanalia	3125 piedmont rd near peachtree road	atlanta	4043650410	international
153	bone	3130 piedmont road	atlanta	4042372663	american
155	brasserie le coze	3393 peachtree rd lenox square mall near neiman marcus	atlanta	4042661440	french
157	buckhead diner	3073 piedmont road	atlanta	4042623336	american
159	ciboulette	1529 piedmont avenue	atlanta	4048747600	french
161	delectables	1 margaret mitchell sq	atlanta	4046812909	american
163	georgia grill	2290 peachtree rd peachtree square shopping center	atlanta	4043523517	american
165	hedgerose heights inn	490 east paces ferry road	atlanta	4042337673	international
167	heera of india	595 piedmont ave rio shopping mall	atlanta	4048764408	asian
169	indigo coastal grill	1397 north highland avenue	atlanta	4048760676	caribbean
171	la grotta	2637 peachtree rd peachtree house condominium	atlanta	4042311368	italian
173	mary mac tea room	224 ponce de leon avenue	atlanta	4048761800	southern
175	nikolai roof	255 courtland st at harris street	atlanta	4042216362	continental
177	panopaul	1232 west paces ferry road	atlanta	4042613662	international
179	cafe  ritz-carlton  buckhead	3434 peachtree road	atlanta	4042372700	ext 6108 international
180	ritz-carlton cafe	3434 peachtree rd ne	atlanta	4042372700	american 
181	dining room  ritz-carlton  buckhead	3434 peachtree road	atlanta	4042372700	international
182	ritz-carlton dining room	3434 peachtree rd ne	atlanta	4042372700	american 
183	ritz-carlton  atlanta	181 peachtree street	atlanta	4046590400	continental
184	ritz-carlton	181 peachtree street	atlanta	4046590400	french 
185	toulouse	b peachtree road	atlanta	4043519533	french
187	veni vidi vici	41 14th street	atlanta	4048758424	italian
189	alain rondelli	126 clement street	san francisco	4153870408	french
191	aqua	252 california street	san francisco	4159569662	seafood
193	boulevard	1 mission street	san francisco	4155436084	american
195	cafe claude	7 claude la	san francisco	4153923505	french
197	campton place	340 stockton street	san francisco	4159555555	american
199	chez michel	804 northpoint	san francisco	4157757036	french
201	fleur de lys	777 sutter street	san francisco	4156737779	french
203	fringale	570 4th street	san francisco	4155430573	french
205	hawthorne lane	22 hawthorne street	san francisco	4157779779	american
207	khan toke thai house	5937 geary boulevard	san francisco	4156686654	asian
209	la folie	2316 polk street	san francisco	4157765577	french
211	lulu	816 folsom street	san francisco	4154955775	mediterranean
212	lulu -bis-cafe	816 folsom street	san francisco	4154955775	mediterranean
213	masa	648 bush street	san francisco	4159897154	french
215	mifune japan center  kintetsu building	1737 post street	san francisco	4159220337	asian
216	mifune	1737 post street	san francisco	4159220337	japanese
217	plumpjack cafe	3201 fillmore street	san francisco	4155634755	mediterranean
219	postrio	545 post street	san francisco	4157767825	american
221	ritz-carlton dining room	600 stockton street	san francisco	4152967465	american
223	rose pistola	532 columbus avenue	san francisco	4153990499	italian
225	adriano ristorante	2930 beverly glen circle	los angeles	3104759807	italian
226	barney greengrass	9570 wilshire boulevard	beverly hills	3107775877	american
227	beaurivage	26025 pacific coast hwy	malibu	3104565733	french
228	garden	176 north canon drive	los angeles	3105503900	californian
229	border grill	4th street	los angeles	3104511655	mexican
230	broadway deli	3rd st promenade	santa monica	3104510616	american
231	ca'brea	346 south la brea avenue	los angeles	2139382863	italian
232	ca'del sol	4100 cahuenga boulevard	los angeles	8189854669	italian
233	cafe pinot	700 west fifth street	los angeles	2132396500	californian
234	california pizza kitchen	207 south beverly drive	los angeles	3102751101	californian
235	canter	419 north fairfax avenue	los angeles	2136512030	american
236	cava	3rd street	los angeles	2136588898	mediterranean
237	cha cha cha	656 north virgil avenue	los angeles	2136647723	caribbean
238	chan dara	310 north larchmont boulevard	los angeles	2134671052	asian
239	clearwater cafe	168 west colorado boulevard	los angeles	8183560959	health food
240	dining room	9500 wilshire boulevard	los angeles	3102755200	californian
241	dive!	10250 santa monica boulevard	los angeles	310788	dive american
242	drago	2628 wilshire boulevard	santa monica	3108281585	italian
243	drai	730 north la cienega boulevard	los angeles	3103588585	french
244	dynasty room	930 hilgard avenue	los angeles	3102088765	continental
245	eclipse	8800 melrose avenue	los angeles	3107245959	californian
246	ed debevic	134 north la cienega	los angeles	3106591952	american
247	el cholo	1121 south western avenue	los angeles	2137342773	mexican
248	gilliland	2424 main street	santa monica	3103923901	american
249	gladstone	4 fish 17300 pacific coast hwy at sunset boulevard	pacific palisades	3104543474	american
250	hard rock cafe	8600 beverly boulevard	los angeles	3102767605	american
251	harry baramerican grill	2020 ave of the stars	los angeles	3102772333	italian
252	il fornaio cucina italiana	301 north beverly drive	los angeles	3105508330	italian
253	jack sprat grill	10668 west pico boulevard	los angeles	3108376662	health food
254	jackson farm	439 north beverly drive	los angeles	3102735578	californian
255	jimmy	201 moreno drive	los angeles	3105522394	continental
256	joss	9255 sunset boulevard	los angeles	3102761886	asian
257	le colonial	8783 beverly boulevard	los angeles	3102890660	asian
258	le dome	8720 sunset boulevard	los angeles	3106596919	french
259	louise trattoria	4500 los feliz boulevard	los angeles	2136670777	italian
260	mon kee seafood	679 north spring street	los angeles	2136286717	asian
261	morton	8764 melrose avenue	los angeles	3102765205	american
262	nate 'n' al	414 north beverly drive	los angeles	3102740101	american
263	nicola	601 south figueroa street	los angeles	2134850927	american
264	ocean avenue	1401 ocean avenue	santa monica	3103945669	american
265	orleans	11705 national boulevard	los angeles	3104794187	cajun
266	pacific dining car	6th street	los angeles	2134836000	american
267	paty	10001 riverside drive	toluca lake	8187619126	american
268	pinot hollywood	1448 north gower street	los angeles	2134618800	californian
269	posto	14928 ventura boulevard	sherman oaks	8187844400	italian
270	prego	362 north camden drive	los angeles	3102777346	italian
271	rj rib joint	252 north beverly drive	los angeles	3102747427	american
272	remi	3rd st promenade	santa monica	3103936545	italian
273	horikawa	111 south san pedro street	los angeles	2136809355	asian
274	roscoe house of chicken 'n' waffles	1514 north gower street	los angeles	2134669329	american
275	schatzi	3110 main street	los angeles	3103994800	continental
276	sofi	3rd street	los angeles	2136510346	mediterranean
277	swingers	8020 beverly boulevard	los angeles	2136535858	american
278	tavola calda	7371 melrose avenue	los angeles	2136586340	italian
279	mandarin	430 north camden drive	los angeles	3108590926	asian
280	tommy tang	7313 melrose avenue	los angeles	2139375733	asian
281	tra di noi	3835 cross creek road	los angeles	3104560169	italian
282	trader vic	9876 wilshire boulevard	los angeles	3102766345	asian
283	vida	1930 north hillhurst avenue	los feliz	2136604446	american
284	west beach cafe	60 north venice boulevard	los angeles	3108235396	american
285	20 mott	20 mott st between bowery and pell street	new york	2129640380	asian
286	9 jones street	9 jones street	new york	2129891220	american
287	adrienne	700 5th ave at 55th street	new york	2129033918	french
288	agrotikon	322 east 14 st between 1st and 2nd aves	new york	2124732602	mediterranean
289	aja	937 broadway at 22nd street	new york	2124738388	american
290	alamo	304 east 48th street	new york	2127590590	mexican
291	alley end	311 west 17th street	new york	2126278899	american
292	ambassador grill	1 united nations plaza at 44th street	new york	2127025014	american
293	american place	2 park ave at 32nd street	new york	2126842122	american
294	anche vivolo	222 east 58th st between 2nd and 3rd aves	new york	2123080112	italian
295	arizona	206 206 east 60th street	new york	2128380440	american
296	arturo	106 west houston st off thompson street	new york	2126773820	italian
297	au mandarin	200-250 vesey st world financial center	new york	2123850313	asian
298	bar anise	1022 3rd ave between 60th and 61st sts	new york	2123551112	mediterranean
299	barbetta	321 west 46th street	new york	2122469171	italian
300	ben benson	123 west 52nd street	new york	2125818888	american
301	big cup	228 8th ave between 21st and 22nd sts	new york	2122060059	coffee bar
302	billy	948 1st ave between 52nd and 53rd sts	new york	2127531870	american
303	boca chica	13 1st ave near 1st street	new york	2124730108	latin american
304	bolo	23 east 22nd street	new york	2122282200	mediterranean
305	boonthai	1393a 2nd ave between 72nd and 73rd sts	new york	2122498484	asian
306	bouterin	420 east 59th st off 1st avenue	new york	2127580323	french
307	brothers bar-b-q	225 varick st at clarkston street	new york	2127272775	american
308	bruno	240 east 58th street	new york	2126884190	italian
309	bryant park grill  roof bp cafe	25 west 40th st between 5th and 6th aves	new york	2128406500	american
310	c3	103 waverly pl near washington sq	new york	2122541200	american
311	ct	111 east 22nd st between park ave south and lexington avenue	new york	2129958500	french
312	cafe bianco	1486 2nd ave between 77th and 78th sts	new york	2129882655	coffee bar
313	cafe botanica	160 central park s	new york	2124845120	french
314	cafe la fortuna	69 west 71st street	new york	2127245846	coffee bar
315	cafe luxembourg	200 west 70th street	new york	2128737411	french
316	cafe pierre	2 east 61st street	new york	2129408185	french
317	cafe centro	200 park ave between 45th st and vanderbilt avenue	new york	2128181222	french
318	cafe fes	246 west 4th st at charles street	new york	2129247653	mediterranean
319	caffe dante	81 macdougal st between houston and bleeker sts	new york	2129825275	coffee bar
320	caffe dell'artista	46 greenwich avenue	new york	2126454431	coffee bar
321	caffe lure	169 sullivan st between houston and bleecker sts	new york	2124732642	french
322	caffe reggio	119 macdougal st between 3rd and bleecker sts	new york	2124759557	coffee bar
323	caffe roma	385 broome st at mulberry	new york	2122268413	coffee bar
324	caffe vivaldi	32 jones st at bleecker street	new york	2126917538	coffee bar
325	caffe bondi ristorante	7 west 20th street	new york	2126918136	italian
326	capsouto freres	451 washington st near watts street	new york	2129664900	french
327	captain table	860 2nd ave at 46th street	new york	2126979538	seafood
328	casa la femme	150 wooster st between houston and prince sts	new york	2125050005	middle eastern
329	cendrillon asian grillmarimba bar	45 mercer st between broome and grand sts	new york	2123439012	asian
330	chez jacqueline	72 macdougal st between west houston and bleecker sts	new york	2125050727	french
331	chiam	160 east 48th street	new york	2123712323	asian
332	china grill	60 west 53rd street	new york	2123337788	american
333	cite	120 west 51st street	new york	2129567100	french
334	coco pazzo	23 east 74th street	new york	2127940205	italian
335	columbus bakery	53rd sts	new york	2124210334	coffee bar
336	corrado cafe	1013 3rd ave between 60th and 61st sts	new york	2127535100	coffee bar
337	cupcake cafe	522 9th ave at 39th street	new york	2124651530	coffee bar
338	da nico	164 mulberry st between grand and broome sts	new york	2123431212	italian
339	deandeluca	121 prince street	new york	2122548776	coffee bar
340	diva	341 west broadway near grand street	new york	2129419024	italian
341	dix et sept	181 west 10th street	new york	2126458023	french
342	docks	633 3rd ave at 40th street	new york	2129868080	seafood
343	duane park cafe	157 duane st between west broadway and hudson street	new york	2127325555	american
344	el teddy	219 west broadway between franklin and white sts	new york	2129417070	mexican
345	emily	1325 5th ave at 111th street	new york	2129961212	american
346	empire korea	6 east 32nd street	new york	2127251333	asian
347	ernie	2150 broadway between 75th and 76th sts	new york	2124961588	american
348	evergreen cafe	1288 1st ave at 69th street	new york	2127443266	asian
349	f. ille ponte ristorante	39 desbrosses st near west street	new york	2122264621	italian
350	felix	340 west broadway at grand street	new york	2124310021	french
351	ferrier	29 east 65th street	new york	2127729000	french
352	fifty seven fifty seven	57 east 57th street	new york	2127585757	american
353	film center cafe	635 9th ave between 44th and 45th sts	new york	2122622525	american
354	fiorello roman cafe	1900 broadway between 63rd and 64th sts	new york	2125955330	italian
355	firehouse	522 columbus ave between 85th and 86th sts	new york	2125953139	american
356	first	87 1st ave between 5th and 6th sts	new york	2126743823	american
357	fishin eddie	73 west 71st street	new york	2128743474	seafood
358	fleur de jour	348 east 62nd street	new york	2123552020	coffee bar
359	flowers	21 west 17th st between 5th and 6th aves	new york	2126918888	american
360	follonico	6 west 24th street	new york	2126916359	italian
361	fraunces tavern	54 pearl st at broad street	new york	2122690144	american
362	french roast	458 6th ave at 11th street	new york	2125332233	french
363	french roast cafe	2340 broadway at 85th street	new york	2127991533	coffee bar
364	frico bar	402 west 43rd st off 9th avenue	new york	2125647272	italian
365	fujiyama mama	467 columbus ave between 82nd and 83rd sts	new york	2127691144	asian
366	gabriela	685 amsterdam ave at 93rd street	new york	2129610574	mexican
367	gallagher	228 west 52nd street	new york	2122455336	american
368	gianni	15 fulton street	new york	2126087300	seafood
369	girafe	208 east 58th st between 2nd and 3rd aves	new york	2127523054	italian
370	global	33 93 2nd ave between 5th and 6th sts	new york	2124778427	american
371	golden unicorn	18 east broadway at catherine street	new york	2129410911	asian
372	grand ticino	228 thompson st between west 3rd and bleecker sts	new york	2127775922	italian
373	halcyon	151 west 54th st in the rihga royal hotel	new york	2124688888	american
374	hard rock cafe	221 west 57th street	new york	2124896565	american
375	hi-life lounge	1340 1st ave at 72nd street	new york	2122493600	american
376	home	20 cornelia st between bleecker and west 4th street	new york	2122439579	american
377	hudson river club	4 world financial center	new york	2127861500	american
378	i trulli	122 east 27th st between lexington and park aves	new york	2124817372	italian
379	il cortile	125 mulberry st between canal and hester sts	new york	2122266060	italian
380	il nido	251 east 53rd street	new york	2127538450	italian
381	inca grill	492 broome st near west broadway	new york	2129663371	latin american
382	indochine	430 lafayette st between 4th st and astor pl	new york	2125055111	asian
383	internet cafe	82 east 3rd st between 1st and 2nd aves	new york	2126140747	coffee bar
384	ipanema	13 west 46th street	new york	2127305848	latin american
385	jean lafitte	68 west 58th street	new york	2127512323	french
386	jewel of india	15 west 44th street	new york	2128695544	asian
387	jimmy sung	219 east 44th st between 2nd and 3rd aves	new york	2126825678	asian
388	joe allen	326 west 46th street	new york	2125816464	american
389	judson grill	152 west 52nd street	new york	2125825252	american
390	l'absinthe	227 east 67th street	new york	2127944950	french
391	l'auberge	1191 1st ave between 64th and 65th sts	new york	2122888791	middle eastern
392	l'auberge du midi	310 west 4th st between west 12th and bank sts	new york	2122424705	french
393	l'udo	432 lafayette st near astor pl	new york	2123880978	french
394	la reserve	4 west 49th street	new york	2122472993	french
395	lanza	168 1st ave between 10th and 11th sts	new york	2126747014	italian
396	lattanzi ristorante	361 west 46th street	new york	2123150980	italian
397	layla	211 west broadway at franklin street	new york	2124310700	middle eastern
398	le chantilly	106 east 57th street	new york	2127512931	french
399	le colonial	149 east 57th street	new york	2127520808	asian
400	le gamin	50 macdougal st between houston and prince sts	new york	2122544678	coffee bar
401	le jardin	25 cleveland pl near spring street	new york	2123439599	french
402	le madri	168 west 18th street	new york	2127278022	italian
403	le marais	150 west 46th street	new york	2128690900	american
404	le perigord	405 east 52nd street	new york	2127556244	french
405	le select	507 columbus ave between 84th and 85th sts	new york	2128751993	american
406	les halles	411 park ave south between 28th and 29th sts	new york	2126794111	french
407	lincoln tavern	51 west 64th street	new york	2127218271	american
408	lola	30 west 22nd st between 5th and 6th avenue	new york	2126756700	american
409	lucky strike	59 grand st between wooster st and west broadway	new york	2129410479	or 212
410	mad fish	2182 broadway between 77th and 78th sts	new york	2127870202	seafood
411	main street	446 columbus ave between 81st and 82nd sts	new york	2128735025	american
412	mangia e bevi	800 9th ave at 53rd street	new york	2129563976	italian
413	manhattan cafe	1161 1st ave between 63rd and 64th sts	new york	2128886556	american
414	manila garden	325 east 14th st between 1st and 2nd aves	new york	2127776314	asian
415	marichu	342 east 46th st between 1st and 2nd aves	new york	2123701866	french
416	marquet patisserie	15 east 12th st between 5th ave and university pl	new york	2122299313	coffee bar
417	match	160 mercer st between houston and prince sts	new york	2129069173	american
418	matthew	1030 3rd ave at 61st street	new york	2128384343	american
419	mavalli palace	46 east 29th street	new york	2126795535	asian
420	milan cafecoffee bar	120 west 23rd street	new york	2128071801	coffee bar
421	monkey bar	60 east 54th street	new york	2128382600	american
422	montien	1134 1st ave between 62nd and 63rd sts	new york	2124214433	asian
423	morton	551 5th ave at 45th street	new york	2129723315	american
424	motown cafe	104 west 57th st near 6th avenue	new york	2125818030	american
425	new york kom tang soot bul house	32 west 32nd street	new york	2129478482	asian
426	new york noodletown	28 1/2 bowery at bayard street	new york	2123490923	asian
427	newsbar	2 west 19th street	new york	2122553996	coffee bar
428	odeon	145 west broadway at thomas street	new york	2122330507	american
429	orso	322 west 46th street	new york	2124897212	italian
430	osteria al droge	142 west 44th street	new york	2129443643	italian
431	otabe	68 east 56th street	new york	2122237575	asian
432	pacifica	138 lafayette st between canal and howard sts	new york	2129414168	asian
433	palio	151 west 51st street	new york	2122454850	italian
434	pamir	1065 1st ave at 58th street	new york	2126449258	middle eastern
435	parioli romanissimo	24 east 81st street	new york	2122882391	italian
436	patria	250 park ave south at 20th street	new york	2127776211	latin american
437	peacock alley	301 park ave between 49th and 50th sts	new york	2128724895	french
438	penpencil	205 east 45th street	new york	2126828660	american
439	penang soho	109 spring st between greene and mercer sts	new york	2122748883	asian
440	persepolis	1423 2nd ave between 74th and 75th sts	new york	2125351100	middle eastern
441	planet hollywood	140 west 57th street	new york	2123337827	american
442	pomaire	371 west 46th st off 9th avenue	new york	2129563055	latin american
443	popover cafe	551 amsterdam ave between 86th and 87th sts	new york	2125958555	american
444	post house	28 east 63rd street	new york	2129352888	american
445	rain	100 west 82nd street	new york	2125010776	asian
446	red tulip	439 east 75th street	new york	2127344893	eastern european
447	remi	145 west 53rd street	new york	2125814242	italian
448	republic	37a union sq west between 16th and 17th sts	new york	2126277172	asian
449	roettelle a. g	126 east 7th st between 1st ave and ave a	new york	2126744140	continental
450	rosa mexicano	1063 1st ave at 58th street	new york	2127537407	mexican
451	ruth chris	148 west 51st street	new york	2122459600	american
452	s.p.q.r	133 mulberry st between hester and grand sts	new york	2129253120	italian
453	sal anthony	55 irving pl	new york	2129829030	italian
454	sammy roumanian steak house	157 chrystie st at delancey street	new york	2126730330	east european
455	san pietro	18 east 54th street	new york	2127539015	italian
456	sant ambroeus	1000 madison ave between 77th and 78th sts	new york	2125702211	coffee bar
457	sarabeth kitchen	423 amsterdam ave between 80th and 81st sts	new york	2124966280	american
458	sea grill	19 west 49th street	new york	2123327610	seafood
459	serendipity	3 225 east 60th street	new york	2128383531	american
460	seventh regiment messbar	643 park ave at 66th street	new york	2127444107	american
461	sfuzzi	58 west 65th street	new york	2128733700	american
462	shaan	57 west 48th street	new york	2129778400	asian
463	sofia fabulous pizza	1022 madison ave near 79th street	new york	2127342676	italian
464	spring street natural bar	62 spring st at lafayette street	new york	2129660290	american
465	stage deli	834 7th ave between 53rd and 54th sts	new york	2122457850	delicatessen
466	stingray	428 amsterdam ave between 80th and 81st sts	new york	2125017515	seafood
467	sweet'n'tart cafe	76 mott st at canal street	new york	2123348088	asian
468	t salon	143 mercer st at prince street	new york	2129253700	coffee bar
469	tang pavillion	65 west 55th street	new york	2129566888	asian
470	tapika	950 8th ave at 56th street	new york	2123973737	american
471	teresa	103 1st ave between 6th and 7th sts	new york	2122280604	east european
472	terrace	400 west 119th st between amsterdam and morningside aves	new york	2126669490	continental
473	coffee pot	350 9th ave at 49th street	new york	2122653566	coffee bar
474	savannah club	2420 broadway at 89th street	new york	2124961066	american
475	trattoria dell'arte	900 7th ave between 56th and 57th sts	new york	2122459800	italian
476	triangolo	345 east 83rd street	new york	2124724488	italian
477	tribeca grill	375 greenwich st near franklin street	new york	2129413900	american
478	trois jean	154 east 79th st between lexington and 3rd aves	new york	2129884858	coffee bar
479	tse yang	34 east 51st street	new york	2126885447	asian
480	turkish kitchen	386 3rd ave between 27th and 28th sts	new york	2126791810	middle eastern
481	two two two	222 west 79th street	new york	2127990400	american
482	veniero pasticceria	342 east 11th st near 1st avenue	new york	2126747264	coffee bar
483	verbena	54 irving pl at 17th street	new york	2122605454	american
484	victor cafe	52 236 west 52nd street	new york	2125867714	latin american
485	vinceeddie	70 west 68th street	new york	2127210068	american
486	vong	200 east 54th street	new york	2124869592	american
487	water club	500 east 30th street	new york	2126833333	american
488	west	63rd street steakhouse 44 west 63rd street	new york	2122466363	american
489	xunta	174 1st ave between 10th and 11th sts	new york	2126140620	mediterranean
490	zen palate	34 union sq east at 16th street	new york	2126149291	and 212
491	zoe	90 prince st between broadway and mercer street	new york	2129666722	american
492	abbey	163 ponce de leon avenue	atlanta	4048768532	international
493	aleck barbecue heaven	783 martin luther king jr drive	atlanta	4045252062	barbecue
494	annie thai castle	3195 roswell road	atlanta	4042649546	asian
495	anthonys	3109 piedmont rd just south of peachtree road	atlanta	4042627379	american
496	atlanta fish market	265 pharr road	atlanta	4042623165	american
497	beesley of buckhead	260 east paces ferry road	atlanta	4042641334	continental
498	bertolini	3500 peachtree rd phipps plaza	atlanta	4042332333	italian
499	bistango	1100 peachtree street	atlanta	4047240901	mediterranean
500	cafe renaissance	7050 jimmy carter blvd norcross	atlanta	7704410291	american
501	camille	1186 north highland avenue	atlanta	4048727203	italian
502	cassis	3300 peachtree rd grand hyatt	atlanta	4043658100	mediterranean
503	city grill	50 hurt plaza	atlanta	4045242489	international
504	coco loco	40 buckhead crossing mall on the sidney marcus boulevard	atlanta	4043640212	caribbean
505	colonnade	1879 cheshire bridge road	atlanta	4048745642	southern
506	dante down hatch  buckhead	3380 peachtree road	atlanta	4042661600	continental
507	dante down hatch	underground underground mall underground atlanta	atlanta	4045771800	continental
508	fat matt rib shack	1811 piedmont ave near cheshire bridge road	atlanta	4046071622	barbecue
509	french quarter food shop	923 peachtree st at 8th street	atlanta	4048752489	southern
510	holt bros. bar-b-q	6359 jimmy carter blvd at buford hwy norcross	atlanta	7702423984	barbecue
511	horseradish grill	4320 powers ferry road	atlanta	4042557277	southern
512	hsu gourmet	192 peachtree center ave at international boulevard	atlanta	4046592788	asian
513	imperial fez	2285 peachtree rd peachtree battle condominium	atlanta	4043510870	mediterranean
514	kamogawa	3300 peachtree rd grand hyatt	atlanta	4048410314	asian
515	la grotta at ravinia dunwoody rd.	holiday inn/crowne plaza at ravinia dunwoody	atlanta	7703959925	italian
516	little szechuan	c buford hwy northwoods plaza doraville	atlanta	7704510192	asian
517	lowcountry barbecue	6301 roswell rd sandy springs plaza sandy springs	atlanta	4042555160	barbecue
518	luna si	1931 peachtree road	atlanta	4043555993	continental
519	mambo e cubano	1402 north highland avenue	atlanta	4048742626	caribbean
520	mckinnon louisiane	3209 maple drive	atlanta	4042371313	southern
521	mi spia dunwoody rd.	park place across from perimeter mall dunwoody	atlanta	7703931333	italian
522	nickiemoto: a sushi bar	247 buckhead ave east village sq	atlanta	4048420334	fusion
523	palisades	1829 peachtree road	atlanta	4043506755	continental
524	pleasant peasant	555 peachtree st at linden avenue	atlanta	4048743223	american
525	pricci	500 pharr road	atlanta	4042372941	italian
526	r.j. uptown kitchenwine bar	870 north highland avenue	atlanta	4048757775	american
527	rib ranch	25 irby avenue	atlanta	4042337644	barbecue
528	sa tsu ki	3043 buford hwy	atlanta	4043255285	asian
529	sato sushithai	6050 peachtree pkwy norcross	atlanta	7704490033	asian
530	south city kitchen	1144 crescent avenue	atlanta	4048737358	southern
531	south of france	2345 cheshire bridge road	atlanta	4043256963	french
532	stringer fish campoyster bar	3384 shallowford rd chamblee	atlanta	7704587145	southern
533	sundown cafe	2165 cheshire bridge road	atlanta	4043211118	american
534	taste of new orleans	889 west peachtree street	atlanta	4048745535	southern
535	tomtom	3393 peachtree road	atlanta	4042641163	continental
536	antonio	3700 west flamingo	las vegas	7022527737	italian
537	bally big kitchen	3645 las vegas blvd s	las vegas	7027394111	buffets
538	bamboo garden	4850 flamingo road	las vegas	7028713262	asian
539	battista hole in wall	4041 audrie st at flamingo road	las vegas	7027321424	italian
540	bertolini	3570 las vegas blvd s	las vegas	7027354663	italian
541	binion coffee shop	128 fremont street	las vegas	7023821600	coffee shops
542		3400 las vegas blvd s	las vegas	7027917111	continental
543	broiler	4111 boulder hwy	las vegas	7024327777	american
